"","title","type","score","scored_by","members","episodes","source","start_year"
"20362","Fang Lian Yeye He Yuan Lian Nainai","movie",NA,6,26,1,"original",NA
"20363","Guai Laotou Er","tv",NA,7,26,4,"original",NA
"20364","Kaidian","movie",NA,5,26,1,"original",NA
"20365","Xin Datou Er Zi He Xiao Tou Baba 2nd Season","tv",NA,3,26,48,NA,NA
"20366","Xin Datou Er Zi He Xiao Tou Baba 6th Season","tv",NA,2,26,100,NA,NA
"20367","Xin Datou Er Zi He Xiao Tou Baba: Caoyuan Qiyu","special",NA,2,26,1,NA,2015
"20368","Xuewen Mao Jiao Hanzi","tv",NA,3,26,52,"original",NA
"20369","Baobei Nuer Hao Mama","tv",NA,3,26,40,"original",NA
"20370","Baobei Nuer Hao Mama: Kuaile De Jiating","tv",NA,3,26,100,"original",NA
"20371","Kaixin Baobei: Kaixin Lianmeng Zhengba Zhan","tv",NA,3,26,52,"original",NA
"20372","Kaixin Chaoren Lianmeng: Chao Shikong Baowei Zhan","tv",NA,3,26,52,"original",NA
"20373","Kaixin Chaoren Lianmeng: Yingxiong Guilai","tv",NA,3,26,52,"original",NA
"20374","Kaixin Chaoren Lianmeng: Xingji Weiji","tv",NA,3,26,52,"original",NA
"20375","Kaixin Chaoren Lianmeng: Nengyuan He Shouhu Zhe","tv",NA,3,26,52,"original",NA
"20376","Kaixin Chaoren: Baoxiao Xing Xingqiu","tv",NA,4,26,52,"original",NA
"20377","Kaixin Chaoren Lianmeng: Mi Zhi Cheng","tv",NA,3,26,26,"original",NA
"20378","Dajiao Niu Meng Gongchang","tv",NA,3,26,156,"original",NA
"20379","Guo Bao Tegong 4: Kai Zhi Hun","tv",NA,2,26,52,"original",NA
"20380","Gangtie Feilong 3: Shanhai Shenshou Lu","tv",NA,2,26,52,NA,NA
"20381","Tiejia Wei Chong Zhi Qi Ren Wang","tv",NA,3,26,52,"original",NA
"20382","Tonghua Wangguo Lixian Ji","tv",NA,1,26,80,NA,NA
"20383","Shen Shou Jin Gang 3: Chao Bianxing Jia","tv",NA,3,26,46,"original",NA
"20384","Shaonian Shiye: Da Yu Baozang","movie",NA,3,26,1,"original",2016
"20385","Menghuan Zhen","tv",NA,5,26,130,"original",NA
"20386","Dou Long Zhanshi Waizhuan","special",NA,2,26,3,"original",2015
"20387","Tian Xin Ge Ge 5th Season","tv",NA,1,26,23,"original",NA
"20388","Mu Ling Baobei","tv",NA,1,26,33,NA,NA
"20389","Mu Qi Ling: Lu Ying Zhan Ling","tv",NA,2,26,30,NA,NA
"20390","Mu Qi Ling 2: Sheng Tian Ling Zhong","tv",NA,2,26,52,NA,NA
"20391","Pao Fu Xiaojie 4th Season","ona",NA,2,26,12,"original",2012
"20392","Pao Fu Xiaojie: Hua Yang Ji","ona",NA,2,26,28,"original",2013
"20393","Pao Fu Xiaojie 5th Season","ona",NA,2,26,12,"original",2014
"20394","Pao Fu Xiaojie: Gan Ai Ji","ona",NA,2,26,13,"original",2015
"20395","Baozou LOL 2nd Season","ona",NA,2,26,12,"game",2015
"20396","You Shen Me 2nd Season","ona",NA,2,26,10,"manga",2016
"20397","Xingfu Xiao Zhen","ona",NA,2,26,52,NA,2011
"20398","Na Nian Na Tu Naxie Shi Er 3rd Season","ona",NA,5,26,12,"other",2016
"20399","Huli Lie Na","movie",NA,6,26,1,"other",NA
"20400","Shi Gou Chuanzhang","movie",NA,7,26,1,"book",NA
"20401","Qi Tian Da Sheng Qianchuan","movie",NA,2,26,1,"novel",2009
"20402","Jidi Da Fangong","movie",NA,2,26,1,"original",2015
"20403","Kung Fu Si Xia","movie",NA,3,26,1,"original",2016
"20404","Yingxiong Jangar: Xunbao Ji","movie",NA,2,26,1,"original",2016
"20405","Tianyan You Qi Zhao","tv",NA,2,26,156,"original",NA
"20406","Tian Yanshen Niu","tv",NA,1,26,52,"original",NA
"20407","Mao Qiu Daya Qi Qu: Lu Zhi Benzou Da Caoyuan","tv",NA,2,26,52,"original",NA
"20408","Renao Yijia","tv",NA,2,26,200,"original",NA
"20409","Luo Baobei","tv",NA,3,26,52,"original",NA
"20410","Luo Baobei 3rd Season","tv",NA,2,26,26,"original",NA
"20411","Qi Qu Baodian Julebu","tv",NA,3,26,499,"original",NA
"20412","Bu Bu Xiong","tv",NA,2,26,26,"original",NA
"20413","Yundong Xiao Fuxing","tv",NA,2,26,52,"original",NA
"20414","Ding Laotou He Jiong GG","tv",NA,4,26,18,"original",NA
"20415","Rexue Sanguo: San Gu Maolu","tv",NA,1,26,38,"novel",NA
