"","title","type","score","scored_by","members","episodes","source","start_year"
"9806","Getter Robo Go","tv",6.18,482,2159,50,"manga",1991
"9807","Metronome","music",6.32,327,542,1,NA,2015
"9808","Chikan Juunin-tai The Animation","ova",5.92,886,2659,5,"original",2004
"9809","Mahou Shoujo Lyrical Nanoha: Lyrical Toy Box","music",5.77,1178,3069,1,NA,2001
"9810","Pucca 3","tv",6.48,213,741,26,NA,2019
"9811","Hoshi no Kirby: Taose!! Koukaku Majuu Ebizou","ona",5.95,826,1672,1,NA,2009
"9812","Wake Up, Girls! no Miyagi PR Yarasete Kudasai!","special",6.08,619,2206,1,"original",2016
"9813","Mon-Soni!: Senritsu no Lucifer, Tada Hitotsu no Hajimari no Uta","ona",6.21,442,1476,1,"game",2017
"9814","Ai Tenshi Densetsu Wedding Peach Specials","special",6.22,431,1447,2,NA,1995
"9815","Seikaisuru Kado: Beyond Information","ona",6.14,527,2417,1,"original",2018
"9816","Survival of the Illest","music",6.59,166,321,1,"other",2020
"9817","Kurai Mirai","ova",5.78,1135,3343,2,"visual novel",2006
"9818","Tokio Kidou Police","ova",5.89,929,2424,2,"novel",1997
"9819","Jing: Shuang Cheng - Feng Qi Pian","ona",6.49,208,727,4,"novel",2020
"9820","Yume no Ukiyo ni Saitemina","music",5.81,1058,1860,1,NA,2015
"9821","Ai Tenchi Muyou! Recaps","special",5.39,2167,4985,10,"original",2014
"9822","Virtual-san wa Miteiru","tv",5.34,2308,7850,12,"original",2019
"9823","M3: Sono Kuroki Hagane Recap","ona",6.14,521,1827,1,NA,2014
"9824","Court no Naka no Tenshi-tachi","ova",5.8,1073,2898,2,"visual novel",2000
"9825","Okusama wa Mahoutsukai","ova",5.83,1022,2840,2,"original",2006
"9826","Chimimo","tv",6.33,310,2247,12,"original",2022
"9827","Detective Conan: Anti-Crime Guide","ova",6.21,436,2196,1,"other",NA
"9828","Genesis Climber Mospeada: Love, Live, Alive","ova",6.17,483,1602,1,NA,1985
"9829","Sakuramiya Shimai no Netorare Kiroku","ova",5.7,1330,3514,2,"manga",2019
"9830","Nekogami Yaoyorozu Specials","special",6.23,414,1646,7,"manga",2011
"9831","Suiyoubi no Yakusoku","music",6.59,164,330,1,"original",2020
"9832","Idol Kouhosei","ova",5.76,1175,3129,1,"original",2013
"9833","Suicide Ballad","music",6.38,270,509,1,"music",2013
"9834","Bari Bari Densetsu","ova",6.43,238,1251,2,"manga",1986
"9835","Nomad: Megalo Box 2 Short Anime","special",6.48,209,3582,1,"original",2021
"9836","Himitsu no Akko-chan 3","tv",6.48,209,915,44,NA,1998
"9837","Akichi Asobi: Playground","movie",6.16,492,1179,1,"original",NA
"9838","Kashi no Ki Mokku","tv",5.99,740,1765,52,NA,1972
"9839","Miracle Train: Chuo-sen e Youkoso","special",5.94,820,3913,1,"manga",2009
"9840","Ibarahime Mata wa Nemurihime","movie",6.19,453,1117,1,"other",NA
"9841","Goddamn","ova",5.81,1043,3086,2,"manga",1990
"9842","NG Knight Ramune & 40 EX: Biku Biku Triangle Ai no Arashi Daisakusen","ova",6.36,284,1089,3,"original",1991
"9843","Toki no Kousa","special",6.02,688,2105,1,"original",2018
"9844","Ai Doll","ova",5.68,1366,3710,4,"visual novel",2000
"9845","Taishou Mebiusline: Chicchai-san","tv",4.73,3731,11902,12,"visual novel",2017
"9846","Doujouji","movie",5.99,736,1732,1,"other",NA
"9847","Anata wo Zutto Aishiteru","movie",6.27,364,1315,1,"picture book",2015
"9848","Monsuto Anime: Katsubou no Hate no Risoukyou","ona",6.03,671,2183,1,"game",2017
"9849","Cleopatra D.C.","ova",5.86,951,3003,3,"manga",1989
"9850","Harem Cult","ova",6.21,427,1488,2,"manga",2022
"9851","Esoragoto Spiral","music",6.18,463,1277,1,"music",2016
"9852","Kokuhaku","ona",2.28,4378,5946,1,"original",2015
"9853","Shining Star","tv",6.6,158,655,52,"original",2017
"9854","Yo! Daitouryou Trap-kun","ona",3.63,4282,7221,2,"original",2017
"9855","Shenmue: The Movie","movie",6.06,619,1931,1,"game",2001
"9856","Heisa Byouin","ova",5.86,942,2871,2,"original",2003
"9857","Vocaloid China Project Senden Animation","music",5.89,891,2701,5,NA,2012
"9858","Kounai Shasei","ova",5.91,860,2865,3,"manga",1990
"9859","Sanrio Anime Sekai Meisaku Gekijou","tv",6.11,546,1573,13,NA,1987
"9860","Arcade Gamer Fubuki","ova",5.27,2429,6542,4,"original",2002
"9861","Mobile Suit Gundam ZZ: Gundam Frag.","ova",5.58,1592,4628,2,"original",2009
"9862","Cosplay Complex: Extra Identification","ova",5.73,1212,2921,1,"original",2004
"9863","Shizuku","movie",5.65,1415,2506,1,"original",1965
"9864","Megumi","ona",6.02,676,2010,1,"other",2008
"9865","Fortune Dogs","tv",6.48,205,1080,39,"original",2002
"9866","Backkom","tv",5.84,972,1890,52,"original",NA
"9867","Saimin Jutsu Zero Special","special",5.91,856,2486,1,"visual novel",2013
"9868","Sinkan","ova",5.76,1131,3481,1,"manga",2004
"9869","Majokko Shimai no Yoyo to Nene Movie Extra: Hatsukoi - Mikako Komatsu","special",6.04,645,1600,1,"manga",2014
"9870","Renjian Zui Deyi","ona",6.66,137,428,60,"novel",2021
"9871","Fastening Days 2","ona",6.2,429,858,1,"original",2016
"9872","Go-Q-Choji Ikkiman","tv",6.41,244,847,32,"manga",1986
"9873","Reunion (Music)","music",5.64,1430,2901,1,NA,2013
"9874","Hibike! Wadaiko","ova",6.64,143,787,1,NA,NA
"9875","Gekitou! Crush Gear Turbo: Kaizabaan no Chousen","movie",6.39,255,857,1,NA,2002
"9876","Super Secret","ona",6.63,146,727,22,"web manga",2020
"9877","Sangokushi: Dai Ichi Bu - Eiyuu-tachi no Yoake","movie",6.54,178,651,1,"novel",1992
"9878","Astro Boy: Tetsuwan Atom - 10-man Kounen no Raihousha - IGZA","movie",6.38,260,884,1,"manga",2005
"9879","Chiisana Obake: Acchi, Kocchi, Socchi","tv",6.08,588,1728,50,"picture book",1991
"9880","Yoroiden Samurai Troopers Message","ova",5.93,813,2188,5,"original",1991
"9881","Yubisaki Annainin Shirudaku Settai Okawari Sanhaime","ova",5.77,1097,3580,3,"visual novel",2010
"9882","Haitoku no Shoujo","ova",5.72,1220,3360,2,"manga",2001
"9883","Angelique: Shiroi Tsubasa no Memoire","ova",5.84,959,3081,2,"game",2000
"9884","Natural: Another","ova",5.99,718,2098,2,"visual novel",2000
"9885","Mu Wang Zhi Wang: Qi Lin Jue","ona",6.5,195,902,20,"original",2016
"9886","Shin Megami Tensei Devil Children: Light & Dark","tv",6.41,242,1783,52,NA,2002
"9887","Princess Principal: Crown Handler Movie 2 - Revealing Reviews","special",6.46,212,2350,1,"original",2022
"9888","Fire Emblem Heroes: Lonely Puppeteer (Spring Remix)","music",6.52,185,335,1,"game",2022
"9889","Shin Koihime†Musou OVA Omake","special",6.22,406,1788,1,"visual novel",2010
"9890","Ken to Mahou no Logres: Inishie no Megami x Fate/Extella","special",5.61,1480,5079,1,"game",2016
"9891","Hanako","movie",6.02,665,1068,1,"original",NA
"9892","RS Keikaku: Rebirth Storage","special",5.49,1790,6010,1,"original",2016
"9893","Wo Shi Jiang Xiaobai 2nd Season","ona",6.56,168,1842,12,"original",2018
"9894","Mei King","ova",6.01,680,2127,4,"visual novel",1999
"9895","Koihime†Musou OVA Omake","special",6.14,497,1832,1,"visual novel",2009
"9896","Cookin' Idol Ai! Mai! Main!","tv",6.27,350,1987,305,"original",2009
"9897","Taimanin Yukikaze Special","special",5.96,757,2363,1,"visual novel",2016
"9898","Deep Blue Song","music",6.25,368,693,1,"game",2017
"9899","Juuza Engi: Engetsu Sangokuden - Gaiden Youzhou Genya","ova",5.67,1330,4555,1,"visual novel",2014
"9900","Super Shiro","tv",6.06,604,2094,48,"manga",2019
"9901","Little Nemo Pilot (1984)","special",6.15,481,1035,1,"picture book",NA
"9902","iDOLM@STER Xenoglossia Specials","special",5.99,706,3536,9,NA,2007
"9903","Ankoku Cat","ona",5.76,1103,2404,6,"original",2006
"9904","Abunai Sisters: Koko & Mika","ova",2.53,4216,6457,10,"original",2009
"9905","Hulu Xiongdi","tv",6.52,183,498,13,"original",NA
"9906","Choujigen Kakumei Anime: Dimension High School","tv",5.12,2773,9187,11,"original",2019
"9907","Mahou Gakuen Lunar! Aoi Ryuu no Himitsu","movie",6.09,560,1288,1,"game",1997
"9908","Apfelland Monogatari","movie",6.05,615,1985,1,"novel",1992
"9909","Gundam: G no Reconguista - From the Past to the Future","special",5.92,815,2442,1,"original",2015
"9910","Nisshin Seifun Group CM","special",6.01,673,1779,3,"other",2010
"9911","Kujiratori","movie",6.21,410,3553,1,"picture book",2001
"9912","Ganso Tensai Bakabon","tv",6.34,282,985,103,NA,1975
"9913","Teki wa Kaizoku: Neko-tachi no Kyouen","tv",6.13,503,1655,6,"novel",1989
"9914","Ginga e Kickoff!! Natsuyasumi Special","special",6.11,526,1385,1,NA,2012
"9915","The iDOLM@STER Cinderella Girls: Starlight Stage - 5th Anniversary! ""Go Just Go!"" PV","music",6.48,199,596,1,"game",2020
"9916","Osananajimi to Doukyuusei","ova",5.8,1007,3378,2,"original",2008
"9917","Kyouhaku: Owaranai Ashita","ova",5.77,1065,2944,3,"visual novel",2000
"9918","Agitated Screams of Maggots","music",4.16,3964,6309,1,"original",2006
"9919","Maid-san to Boin Damashii","ova",5.62,1427,4655,2,"visual novel",2015
"9920","Usaru-san","special",5.99,699,1209,4,"other",2009
"9921","Bokura Mada Underground (2022)","music",6.24,371,660,1,"original",2022
"9922","Tamagotchi!","tv",6.31,307,1354,143,"game",2009
"9923","Detective Conan: Amuro Secret Call","special",6.15,473,2141,1,"manga",2018
"9924","Ano Hi no Kokoro wo Toraete","ona",5.99,696,1867,1,"original",2019
"9925","Gensou Jotan Ellcia","ova",5.95,755,2276,4,NA,1992
"9926","Wangu Xian Qiong III: Eren Gu Pian","tv",6.51,185,1427,13,"novel",2019
"9927","Magic-kyun! First Live: Hoshinomori Summer Festa 2017 Encore Animation","special",6.57,160,1005,1,"original",2017
"9928","Crush Gear Nitro","tv",6.03,630,1578,50,NA,2003
"9929","Tanoshii Willow Town","tv",6.3,313,869,26,"book",1993
"9930","Izumo (2003)","ova",5.98,706,2965,5,"visual novel",2003
"9931","Sangokushi: Dai Ni Bu - Choukou Moyu!","movie",6.54,172,636,1,"novel",1993
"9932","Oreca Battle","tv",5.93,780,2411,51,"game",2014
"9933","Umi no Triton (1979)","movie",6.42,227,673,2,"manga",1979
"9934","Magical Twilight","ova",5.94,761,2015,3,"manga",1994
"9935","Kijoku: Princess Double Kari","ova",5.9,821,2445,3,"visual novel",2004
"9936","Fireball Humorous","tv",5.76,1064,3128,3,"original",2017
"9937","Wan Wan Celepoo Soreyuke! Tetsunoshin","tv",6.56,162,969,51,"original",2006
"9938","Dragon Knight 4","ova",5.7,1209,2862,4,"visual novel",1998
"9939","Machine Robo: Cronos no Dai Gyakushuu","tv",6.26,343,1788,47,"original",1986
"9940","H. P. Lovecraft's The Dunwich Horror and Other Stories","ova",5.92,787,3204,1,"novel",2007
"9941","Ninja Mono","ova",5.69,1231,2900,2,"original",1996
"9942","Zhongguo Jingqi Xiansheng","ona",6.2,405,2444,63,"web manga",2014
"9943","Hotohashiru","music",6.17,439,1057,1,"manga",2018
"9944","Li Shi","ona",6.33,279,2732,16,"novel",2020
"9945","Tsuru ni Notte: Tomoko no Bouken","movie",6.35,264,774,1,NA,1993
"9946","Sasurai no Shoujo Nell","tv",6.27,331,1462,26,"novel",1979
"9947","Baku Tech! Bakugan Gachi","tv",5.88,839,2023,39,NA,2013
"9948","Sakura Internet","ona",5.62,1387,4800,1,"original",2017
"9949","Lioness' Pride","music",6.41,229,362,1,"other",2021
"9950","Danball Senki Wars: All Star Battle","special",6.35,263,813,1,"original",2014
"9951","Muu no Hakugei","tv",6.31,297,1273,26,"original",1980
"9952","Kochira Katsushikaku Kameari Kouenmae Hashutsujo: Hashire! Ryoutsu-shiki Chinchin Densha","special",6.69,120,542,1,"manga",2006
"9953","""Uchuu Senkan Yamato"" to Iu Jidai: Seireki 2202-nen no Sentaku","movie",6.62,141,3531,1,"original",2021
"9954","Mini Van Special","special",6.29,312,877,1,"4 koma manga",2013
"9955","Zoku Natsume Yuujinchou: 3D Nyanko-sensei Gekijou","special",5.03,2834,8000,5,"manga",2009
"9956","Re:I Am","music",6.32,286,574,1,"original",2013
"9957","Tonari no Oneesan","ova",5.77,1029,3205,2,"visual novel",2000
"9958","Shusaku Replay","ova",5.89,817,2272,4,"visual novel",2000
"9959","Future War 198X-nen","movie",6.03,614,2101,1,NA,1982
"9960","Tsuritama: Harikitte Contest","special",5.97,701,2974,1,"original",2012
"9961","Kaitouranma The Animation","ova",5.9,799,2296,2,"visual novel",1999
"9962","Himitsukessha Taka no Tsume: Golden Spell","tv",6.17,432,1014,12,"original",2020
"9963","Kyuukyoku Choujin R","ova",6.22,375,1457,1,"manga",1991
"9964","Hana to Hebi The Animation","ova",5.89,813,2934,3,"visual novel",2006
"9965","Fake Doll","music",5.76,1040,1733,1,NA,2012
"9966","Shin SOS Dai Tokyo Tankentai","movie",6.07,555,1587,1,NA,2007
"9967","Takamiya Nasuno Desu!: Teekyuu Spin-off Special","special",5.91,782,2452,1,"manga",2015
"9968","Meisou! Underworld","ona",5.71,1152,2237,1,"manga",2014
"9969","Crazy Roulette","music",6.33,272,522,1,"game",2019
"9970","Babel Nisei (OVA)","ova",5.84,886,2437,4,NA,1992
"9971","Sengoku Night Blood: Ongaku Dai Tokushuu","special",6.27,325,2064,1,"game",2017
"9972","Mafukiden: Pandarian","tv",6.3,301,904,26,NA,2005
"9973","Detective Conan: The Internet - The Mysterious E-mail Case","ova",6.13,476,2385,1,"manga",2000
"9974","Ane Log: Moyako Neesan no Honpen wo Tobidashite Tomaranai Monologue Specials","special",5.29,2170,6061,3,"manga",2014
"9975","Jin Sheng Yuan","music",6.19,407,720,1,NA,2008
"9976","Hua Jianghu: Bei Mo Ting","ona",6.5,183,919,40,"original",2016
"9977","eX-Driver the Movie Specials","special",6.25,342,1061,3,"original",2002
"9978","Robot Town Sagami 2028","ona",6.23,359,817,1,"original",2016
"9979","Koyoi wa Halloween Night!","music",6.6,145,221,1,"original",2020
"9980","Kuroinu II The Animation","ova",5.76,1034,4994,NA,"visual novel",2021
"9981","Time Bokan Oudou Fukko","ova",6.07,550,1956,2,NA,1993
"9982","Aquarian Age: Saga II - Don't Forget Me...","ova",5.78,991,3327,1,"card game",2003
"9983","Luigi's Toy Adventure","ona",5.7,1164,2014,1,"game",2014
"9984","Ai Zai Xiyuan Qian","ona",6.49,186,1947,12,"music",2019
"9985","Chibi Kero: Kerobouru no Himitsu!?","special",6.13,473,1284,1,NA,2007
"9986","UFO Princess Valkyrie: Recap","special",6.16,438,1432,1,"manga",2003
"9987","Kumi to Tulip","movie",5.98,673,1862,1,"original",2015
"9988","Felicia (2021)","music",6.58,151,255,1,"original",2021
"9989","Netorare: Tanabe Yuuka no Dokuhaku","ova",5.57,1454,4267,1,"original",2010
"9990","Hey! Bumboo","tv",6.03,604,1276,130,NA,1985
"9991","Kamen Rider Den-O: Imagin Anime 3","ova",6.31,288,761,12,NA,2010
"9992","Hakuouki: Otogisoushi Special","special",6.11,495,1789,1,"visual novel",2016
"9993","Misuzu: Ikenai Koto","ova",5.52,1590,4113,1,"manga",2016
"9994","Ikusa Otome Suvia Special","special",5.78,984,2806,1,"visual novel",2010
"9995","Ouritsu Uchuugun: Honneamise no Tsubasa Pilot","special",5.97,686,1827,1,"original",NA
"9996","Dengeki Oshioki Musume Gootaman: Gootaman Tanjou-hen","ova",5.22,2302,6555,1,NA,1994
"9997","Puzzle & Dragons CM","ona",5.85,858,2019,2,"other",2015
"9998","Still","music",6.03,602,1066,1,"original",2017
"9999","Ahoy!! Warera Houshou Kaizoku-dan☆","music",6.72,110,167,1,"original",2020
"10000","Kanojo wa Zombie","music",6,638,1269,1,"music",2016
"10001","Hagane Orchestra","tv",5.54,1525,4879,12,"game",2016
"10002","Chou Henshin Cosprayers","tv",4.86,3078,8163,8,"original",2004
"10003","Ganbare Goemon","tv",6.19,397,1392,23,"game",1997
"10004","Repaint","music",6.6,143,252,1,"original",2022
"10005","Detective Conan: A Written Challenge from the Pyramids!","ova",6.17,421,1995,1,NA,2001
"10006","Dr. Slump Movie 07: Arale-chan N-cha! Penguin Mura yori Ai wo Komete","movie",6.17,421,1328,1,"manga",1993
"10007","Kinkyuu Hasshin Saver Kids","tv",6.52,171,758,50,"original",1991
"10008","Kagaku Ninja-tai Gatchaman (Movie)","movie",6.11,490,1588,1,NA,1978
"10009","Da Wang Bu Gaoxing 2","ona",6.41,220,1186,12,"web manga",2020
"10010","Sin: The Movie","ova",5.13,2532,5013,1,"game",2000
"10011","Junjou Shoujo Et Cetera Specials","special",6.17,420,1596,2,"manga",2013
"10012","Konbini Shoujo Z","ova",5.97,678,2352,NA,"visual novel",2021
"10013","Senjuushi","tv",4.88,3019,12905,12,"game",2018
"10014","Akai Kiba: Blue Sonnet","ova",5.91,762,2315,5,"manga",1989
"10015","Wasureta Furi wo Shite","movie",6.18,409,938,1,"manga",2020
"10016","Galactic Patrol Lensman","tv",6.29,301,1598,25,NA,1984
"10017","Hidamari Sketch x ☆☆☆ Recap","special",6.31,284,1223,1,"4 koma manga",2012
"10018","Kunoichi Sakuya","ova",5.84,863,2680,2,"visual novel",2011
"10019","Sinbad: Mahou no Lamp to Ugoku Shima","movie",6.18,408,1580,1,"original",2016
"10020","Katarina Nounai Kaigi","ona",5.7,1134,3513,26,"light novel",2020
"10021","Natural","ova",5.93,732,2069,2,"visual novel",1999
"10022","Mousou Kanshou Daishou Renmei feat. Hatsune Miku","music",6.42,212,374,1,"original",2016
"10023","Tenchi Muyou! Ryououki 3rd Season Picture Drama","special",6.36,247,1139,5,"original",2003
"10024","Kyokou Suiri Mini Anime","ona",5.79,946,5749,38,"manga",2019
"10025","Kakyuusei 2: Anthology","ova",5.95,701,2765,2,"visual novel",2006
"10026","Yagami-kun no Katei no Jijou","ova",6.01,615,1641,3,"manga",1990
"10027","Full Moon Party","music",5.78,962,1603,1,"original",NA
"10028","Jikuu Tenshou Nazca","tv",5.6,1355,6566,12,"manga",1998
"10029","Shounen Sarutobi Sasuke","movie",5.97,670,1669,1,"original",1959
"10030","Kouya no Kotobuki Hikoutai Kanzenban","movie",6.46,195,2366,1,"original",2020
"10031","Ichirin-sha","ona",5.96,684,1678,1,"original",2010
"10032","Youchien Senshi: Hanamaru Girls","special",5.79,938,2503,3,"manga",2010
"10033","The World of Golden Eggs","tv",6.45,198,909,26,"original",2005
"10034","Komadori Movie: Komaneko","movie",6.48,185,509,1,NA,2006
"10035","Bishoujo Yuugi Unit Crane Game Girls","tv",4.39,3478,7397,13,"original",2016
"10036","Taishou Yakyuu Musume. Specials","special",6.2,374,1483,2,NA,2009
"10037","Rean no Tsubasa","ona",5.69,1138,3692,6,"novel",2005
"10038","Soushin Shoujo Matoi: Yuma-chin, Matomemashita - Nanimo Kitenakute... Natsu","special",5.8,913,2531,1,"original",2016
"10039","Aa Harimanada","tv",6.12,469,1614,23,"manga",1992
"10040","True Blue: Gaiden","ova",5.63,1273,3205,1,"visual novel",2005
"10041","Korashime","ova",5.82,872,2823,2,"visual novel",2001
"10042","Fuurinkanzan","ova",5.72,1060,3096,1,"visual novel",2013
"10043","Romance wa Tsurugi no Kagayaki II","ova",6.04,567,1998,6,"visual novel",2001
"10044","Xi Yangyang Yu Hui Tailang","tv",6.3,285,734,530,NA,NA
"10045","Kiss yori...","ova",5.83,856,2396,3,"visual novel",1999
"10046","Taimanin Shiranui: Inyoku no Dorei Shoufu","ova",5.82,870,2265,1,"visual novel",2021
"10047","Kunoichi Bakumatsu Kitan","ova",5.9,755,2648,2,"original",2003
"10048","Babel Nisei (2001)","tv",5.75,999,3286,13,"manga",2001
"10049","Hoshizora no Violin","movie",6.59,142,844,1,NA,NA
"10050","Cyborg 009: Kaijuu Sensou","movie",5.99,628,1888,1,NA,1967
"10051","Mitama: Nin","ova",5.7,1098,3678,2,"visual novel",2009
"10052","Haguregumo","movie",6.04,563,1912,1,"manga",1982
"10053","Kojika Monogatari","tv",6.39,224,785,52,"novel",1983
"10054","Sweet Valerian","tv",5.75,996,2930,18,"original",2004
"10055","Koi Koi 7 Specials","special",5.85,818,2290,7,NA,2005
"10056","Koutetsu Sangokushi Special","special",6.36,241,933,1,NA,2008
"10057","Sharedol","ona",6.37,235,601,1,"original",2021
"10058","Lion meets HachiClo","special",5.68,1143,3556,2,"manga",2018
"10059","Abandon: 100 Nuki Shinai to Derarenai Fushigi na Kyoushitsu","ova",6.12,462,1989,NA,"manga",2022
"10060","Zekkyou Gakkyuu","special",5.31,2024,4519,3,"manga",2012
"10061","Fushigi na Koala Blinky","tv",6.23,337,921,26,"original",1984
"10062","Taneyamagahara no Yoru","movie",5.53,1479,5096,1,"other",2006
"10063","Pa-Pa-Pa the ★ Movie: Perman","movie",6.33,256,656,1,NA,2003
"10064","Lingerie Senshi Papillon Rose","ova",4.63,3244,7549,1,"other",2003
"10065","Dies Irae: Marie's Memory ""Michi ni Tsuuzu Kiseki""","ona",5.76,976,4445,1,"visual novel",2017
"10066","Haritsuke","ova",5.56,1402,3288,2,"manga",2020
"10067","Dimension Loop","ova",5.62,1270,2854,1,"original",NA
"10068","V.G.Neo The Animation","ova",5.63,1251,3592,3,"visual novel",2004
"10069","Qin Shi Mingyue: Kong Shan Niao Yu","ona",6.51,169,804,3,"novel",2014
"10070","Kumo to Tulip","movie",5.69,1115,2048,1,"picture book",1943
"10071","Lovedol: Lovely Idol OVA","ova",6.05,542,1894,1,NA,2007
"10072","Hoshi no Umi no Amuri","ova",5.74,1008,3340,3,"original",2008
"10073","Dr. Slump Movie 09: Arale-chan N-cha!! Wakuwaku Hot no Natsuyasumi","movie",6.19,376,1204,1,"manga",1994
"10074","Zoku Attacker You! Kin Medal e no Michi","tv",6.16,414,1090,52,NA,NA
"10075","Kyoufu no Bio Ningen Saishuu Kyoushi","ova",5.5,1543,3725,1,NA,1988
"10076","Akuemon","ova",5.98,635,1307,1,"manga",1993
"10077","Inma Youjo","ova",5.94,691,2390,5,NA,1994
"10078","Bakuhatsu Sunzen!! Tenshi no Countdown","ova",5.43,1730,3995,1,"manga",2001
"10079","Haou Taikei Ryuu Knight: Adeu Legend","ova",6.25,317,1246,13,NA,1994
"10080","TV Yarou Nanaana: Wakuwaku Doukutsu Land","tv",6.11,469,1214,24,"original",2019
"10081","Pastel Tea Time","music",6.38,226,501,1,"original",2021
"10082","Suki da yo!","ova",5.87,774,1997,2,"visual novel",2001
"10083","White Blue","ova",5.57,1373,4167,NA,"visual novel",2020
"10084","Code Geass: Hangyaku no Lelouch Picture Drama - Kamen Kokuhaku Taikai","special",5.91,726,2495,1,"original",2017
"10085","Inyouchuu Etsu Special","special",5.87,772,2382,1,"visual novel",2014
"10086","Yugami-kun ni wa Tomodachi ga Inai","ona",5.82,850,3025,2,"manga",2013
"10087","SmaSTATION-3 SMAnime","special",6.47,184,541,3,"original",NA
"10088","Portable Kuukou","music",5.57,1365,2807,1,"music",2004
"10089","Maroko","movie",6.33,252,1284,1,"original",1990
"10090","Dr. Slump Movie 06: Arale-chan N-cha! Penguin Mura wa Hare Nochi Hare","movie",6.18,381,1251,1,"manga",1993
"10091","Sengoku Kitan Youtouden","ova",5.99,615,2232,3,"novel",1987
"10092","Sougen no Ko Tenguri","movie",6.09,486,1051,1,"original",NA
"10093","Kyou kara Omoide","music",6.43,200,399,1,"original",2013
"10094","Zashiki Warashi no Tatami-chan","ona",5.21,2197,4872,12,"original",2020
"10095","Kingsglaive: FFXV Fan Kansha Tokubetsu Movie","ona",5.89,749,1799,1,"game",2016
"10096","KisKis! Wo de Nanyou Shi Bohe Tang","special",5.94,680,3040,4,"other",2018
"10097","Show By Rock!!: Legend of Shingan Crimsonz","ona",6.05,532,2151,3,"game",2013
"10098","Birthday Boy","movie",5.75,972,1872,1,"original",NA
"10099","Takarasagashi no Natsuyasumi","ona",6.22,340,973,NA,"original",2014
"10100","Ai no Senshi Rainbowman","tv",6.36,236,1048,22,"other",1982
"10101","Bounty Dog: Getsumen no Ibu","ova",5.54,1422,3572,2,"original",1994
"10102","Uchuu Taitei God Sigma","tv",6.32,258,1102,50,NA,1980
"10103","Yakyuukyou no Uta","tv",6.38,223,1155,25,"manga",1978
"10104","Senyoku no Sigrdrifa: Dai-909 Senjutsu Hime-tai Sentou Kiroku!","special",5.87,765,2284,1,"original",2020
"10105","Pyuu to Fuku! Jaguar","ova",6.63,126,779,3,"manga",2007
"10106","Midnight Panther","ova",5.78,907,2415,2,"manga",1998
"10107","Happy☆Lucky Bikkuriman","tv",6.6,135,456,46,NA,2006
"10108","Tentou Mushi no Uta","tv",6.35,239,745,104,"manga",1974
"10109","Ame-iro Cocoa: Side G","tv",4.86,2826,8620,12,"web manga",2019
"10110","Pure-tou no Nakama-tachi","tv",6.29,280,804,26,NA,1983
"10111","Zenryoku Usagi","tv",6.26,303,996,52,NA,2008
"10112","Larva 3rd Season","tv",6.14,423,699,104,"original",2014
"10113","Marimo no Hana: Saikyou Butouha Shougakusei Densetsu","ova",5.04,2541,4291,1,"manga",2012
"10114","Chocolate Underground: Bokura no Chocolate Sensou","movie",6.21,345,1997,1,"novel",2009
"10115","Shadow Skill: Kurudaryuu Kousatsuhou no Himitsu","ova",5.9,725,2119,1,"manga",2004
"10116","Nido to Mezamenu Komori Uta","movie",5.63,1213,2990,1,"original",NA
"10117","Artiswitch Picture Drama","ona",6.39,216,847,5,"original",2021
"10118","Shichinin no Nana: Oshougatsu Da yo! 7 x 7 = 49-nin no Nana?","special",6.36,233,660,1,NA,2002
"10119","Zoo: Hidamari no Shi","movie",6.3,270,753,1,"novel",2005
"10120","Ogenki Clinic","ova",5.78,901,2496,3,NA,1991
"10121","Shi Zhi Ge: Hua Yu Yan De Kuangxiang Shi","ona",6.37,226,1742,13,"original",2020
"10122","Kimi no Matsu Mirai (Basho) e","ona",5.86,770,1535,1,"original",2018
"10123","Tsuukin Kairaku: Chikan de Go!!","ova",5.73,993,2831,1,"visual novel",2007
"10124","Ikebukuro PR Anime","ona",6.03,548,1616,1,"original",2019
"10125","Yuuguu Settai: Kotou no Gokuraku e Youkoso","ova",5.56,1354,4145,2,"visual novel",2004
"10126","Daisan no Shinzou","music",6.34,241,548,1,"original",2021
"10127","Shuudan Chikan Densha","ova",5.9,721,2159,2,"visual novel",2005
"10128","K×Drop!!","ona",6.09,476,790,1,"original",2017
"10129","Keitai Shoujo","ona",5.27,2020,5212,6,"visual novel",2007
"10130","Youkai Ningen Bem","tv",6.12,440,1764,26,"original",1968
"10131","Kinnikuman: Kessen! Shichinin no Choujin tai Uchuu Nobushi","special",6.3,268,922,1,"manga",1984
"10132","Wonder Momo","ona",3.5,3420,6461,5,"game",2014
"10133","Youseiki Suikoden","ova",5.68,1080,2774,1,"light novel",1993
"10134","Gakkou no Kaidan (OVA)","ova",6.42,200,1107,10,NA,2005
"10135","Harukana Receive: Yokoku","ona",5.98,612,3000,11,"manga",2018
"10136","Get Ride! AMDriver","tv",6.21,340,1926,51,NA,2004
"10137","Kakuchou Shoujo-kei Trinary: Ex.MV","music",6.2,348,1666,5,"original",2017
"10138","Hiatari Ryoukou! Yume no Naka ni Kimi ga Ita","movie",6.22,329,1082,1,"manga",1988
"10139","Magia Record: Mahou Shoujo Madoka☆Magica Gaiden (TV) Recaps","special",6.01,572,3673,3,"game",2021
"10140","Pussycat","ona",4.19,3340,4962,1,"original",2008
"10141","Shusaku Liberty","ova",5.82,817,2294,2,"visual novel",2003
